FID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,SHAPE_Length,SHAPE_Area
305,42,003,410000,1400000US42003410000,42003410000,4100,CT,2304511,0,0.0854810075885268,0.000245084872999646
306,42,003,413100,1400000US42003413100,42003413100,4131,CT,15950134,214557,0.202814119422816,0.00172053212549864
307,42,003,413201,1400000US42003413201,42003413201,4132.01,CT,3779911,0,0.108183996686963,0.000400761669500255
308,42,003,413400,1400000US42003413400,42003413400,4134,CT,4394214,0,0.102156086715855,0.000464287718999694
309,42,003,415001,1400000US42003415001,42003415001,4150.01,CT,32483107,0,0.317697802874903,0.0034554396155006
310,42,003,416000,1400000US42003416000,42003416000,4160,CT,5835107,391066,0.126317014123158,0.000661484916499597
311,42,003,418000,1400000US42003418000,42003418000,4180,CT,1198395,223556,0.0491073064067394,0.000152376267999888
312,42,003,421200,1400000US42003421200,42003421200,4212,CT,9248433,0,0.18297041539476,0.000983594825499877
313,42,003,040400,1400000US42003040400,42003040400,404,CT,199505,0,0.0200459077399878,2.10019205000467e-05
314,42,003,050100,1400000US42003050100,42003050100,501,CT,790374,0,0.0458032542275295,8.58501584998621e-05
315,42,003,051000,1400000US42003051000,42003051000,510,CT,645419,0,0.0435689573226886,6.81283585000166e-05
316,42,003,060300,1400000US42003060300,42003060300,603,CT,1117947,143800,0.0520909300828791,0.000134535558999971
317,42,003,492800,1400000US42003492800,42003492800,4928,CT,1642209,0,0.0640650155623109,0.000161872556499695
318,42,003,070800,1400000US42003070800,42003070800,708,CT,446679,0,0.0328736090009587,4.73097374996314e-05
319,42,003,101400,1400000US42003101400,42003101400,1014,CT,930968,301741,0.0889018853267,0.000130304639000345
320,42,003,130100,1400000US42003130100,42003130100,1301,CT,772138,0,0.0650848937186362,8.22156735002319e-05
321,42,003,191400,1400000US42003191400,42003191400,1914,CT,945372,0,0.0593067484676713,0.000101125577999926
322,42,003,241200,1400000US42003241200,42003241200,2412,CT,682579,0,0.0636909725149703,6.69165400000008e-05
323,42,003,260700,1400000US42003260700,42003260700,2607,CT,671346,0,0.0487746943695439,7.07799934998997e-05
324,42,003,262000,1400000US42003262000,42003262000,2620,CT,1645935,0,0.0575239294579848,0.000174198343000054
325,42,003,300100,1400000US42003300100,42003300100,3001,CT,775644,0,0.0365007124128245,8.22347319996497e-05
326,42,003,403500,1400000US42003403500,42003403500,4035,CT,3172264,431553,0.105403907986297,0.000385204745999812
327,42,003,406000,1400000US42003406000,42003406000,4060,CT,33530713,0,0.277250533611928,0.0035704742510007
328,42,003,411000,1400000US42003411000,42003411000,4110,CT,40029569,0,0.338178752354112,0.00426081044949992
329,42,003,412001,1400000US42003412001,42003412001,4120.01,CT,22471390,10752,0.241940573715868,0.00239318372200116
330,42,003,415002,1400000US42003415002,42003415002,4150.02,CT,13018325,0,0.273725496315105,0.00138611896499949
331,42,003,429300,1400000US42003429300,42003429300,4293,CT,8349576,0,0.132572560217083,0.000885035323500254
332,42,003,435000,1400000US42003435000,42003435000,4350,CT,1472772,318264,0.0644239439134321,0.000191195325500287
333,42,003,459101,1400000US42003459101,42003459101,4591.01,CT,6226296,268187,0.143734729585843,0.000690852969000408
334,42,003,465800,1400000US42003465800,42003465800,4658,CT,1951976,0,0.0966624020547947,0.000205411562500225
335,42,003,471000,1400000US42003471000,42003471000,4710,CT,733880,0,0.0353913109148403,7.77770024999172e-05
336,42,003,473300,1400000US42003473300,42003473300,4733,CT,3295928,0,0.096081958036147,0.000350171240500131
337,42,003,474201,1400000US42003474201,42003474201,4742.01,CT,3302630,20332,0.134321881675482,0.00034968340850024
338,42,003,475401,1400000US42003475401,42003475401,4754.01,CT,5916165,0,0.111192296702156,0.000628180761499754
339,42,003,481000,1400000US42003481000,42003481000,4810,CT,879380,0,0.0414112792695843,9.34408139998861e-05
340,42,003,488300,1400000US42003488300,42003488300,4883,CT,6212135,0,0.146621784299312,0.000656950288500491
341,42,003,488500,1400000US42003488500,42003488500,4885,CT,9604274,0,0.171936155739807,0.00102237291650014
342,42,003,564200,1400000US42003564200,42003564200,5642,CT,14041346,359489,0.239069607193253,0.00152384631549954
343,42,003,496101,1400000US42003496101,42003496101,4961.01,CT,11878782,95831,0.178191098213628,0.00126638351599971
344,42,003,503002,1400000US42003503002,42003503002,5030.02,CT,5384573,0,0.122343912312417,0.000571276206499929
345,42,003,521200,1400000US42003521200,42003521200,5212,CT,7331231,0,0.191108883127336,0.000777987765999526
346,42,003,523600,1400000US42003523600,42003523600,5236,CT,5028423,0,0.0990511752850804,0.000531089692499822
347,42,003,526301,1400000US42003526301,42003526301,5263.01,CT,4348376,0,0.116800627002109,0.000462154826499592
348,42,003,560600,1400000US42003560600,42003560600,5606,CT,374300,0,0.0267234216332032,3.97400204998759e-05
349,42,003,561700,1400000US42003561700,42003561700,5617,CT,1072679,0,0.0459846419536401,0.000113770469000162
350,42,003,562600,1400000US42003562600,42003562600,5626,CT,2092793,187348,0.0856978480488376,0.000244696747000294
351,42,003,562900,1400000US42003562900,42003562900,5629,CT,6760214,607104,0.279821725122633,0.000778562707498765
352,42,003,521302,1400000US42003521302,42003521302,5213.02,CT,7970281,15818,0.169641679857913,0.000846892050999979
353,42,003,405000,1400000US42003405000,42003405000,4050,CT,24201221,0,0.288833696580041,0.00257569885449966
354,42,003,427100,1400000US42003427100,42003427100,4271,CT,6245765,0,0.123184514098712,0.000664014527999529
355,42,003,452000,1400000US42003452000,42003452000,4520,CT,83873207,14471,0.450907806630738,0.00890721397800088
356,42,003,461000,1400000US42003461000,42003461000,4610,CT,3965383,2109199,0.201873011723787,0.000643445304999523
357,42,003,475301,1400000US42003475301,42003475301,4753.01,CT,3388000,0,0.0890356252732162,0.000358952152000441
358,42,003,483800,1400000US42003483800,42003483800,4838,CT,1490494,177486,0.0728187747444349,0.000174554135999615
359,42,003,489001,1400000US42003489001,42003489001,4890.01,CT,3726146,0,0.0941160180076113,0.0003943741419998
360,42,003,492700,1400000US42003492700,42003492700,4927,CT,3849218,603232,0.131787879377065,0.000479189026500531
361,42,003,496200,1400000US42003496200,42003496200,4962,CT,14498355,690694,0.244281521809756,0.00160600929449884
362,42,003,521301,1400000US42003521301,42003521301,5213.01,CT,7668996,0,0.181856545070614,0.00081889136600016
363,42,003,477100,1400000US42003477100,42003477100,4771,CT,2161101,0,0.0870614226422979,0.00023237513199965
364,42,003,480400,1400000US42003480400,42003480400,4804,CT,5021148,0,0.110652578367894,0.000530156605500006
365,42,003,504100,1400000US42003504100,42003504100,5041,CT,8719828,428835,0.146149508457365,0.000972055625999805
366,42,003,515100,1400000US42003515100,42003515100,5151,CT,1091700,0,0.0553276755608431,0.000112791578500086
367,42,003,526201,1400000US42003526201,42003526201,5262.01,CT,6184747,0,0.124130648350364,0.000659792470999998
368,42,003,563300,1400000US42003563300,42003563300,5633,CT,25364137,0,0.287515330521875,0.00270002267450014
369,42,003,020100,1400000US42003020100,42003020100,201,CT,1678102,483177,0.0831610906638366,0.00023074620400009
370,42,003,111500,1400000US42003111500,42003111500,1115,CT,965268,0,0.0488005187609775,0.000101155028500098
371,42,003,426300,1400000US42003426300,42003426300,4263,CT,5214993,0,0.120201350096634,0.000555938320500575
372,42,003,429202,1400000US42003429202,42003429202,4292.02,CT,4349364,0,0.110933335584319,0.000463127511500351
373,42,003,449000,1400000US42003449000,42003449000,4490,CT,5432687,546096,0.117498929704028,0.000635158351499916
374,42,003,453004,1400000US42003453004,42003453004,4530.04,CT,7425008,0,0.162672865112546,0.000783612778999919
375,42,003,459201,1400000US42003459201,42003459201,4592.01,CT,23684537,0,0.322831827277203,0.00251830471127865
376,42,003,474203,1400000US42003474203,42003474203,4742.03,CT,4407425,0,0.0969736873590724,0.000468201483000454
377,42,003,191900,1400000US42003191900,42003191900,1919,CT,608784,0,0.0451640363851146,6.25168649997866e-05
378,42,003,270400,1400000US42003270400,42003270400,2704,CT,396816,0,0.0286307729953947,4.2012506999966e-05
379,42,003,290400,1400000US42003290400,42003290400,2904,CT,1607156,0,0.0876918058452634,0.00017252263400011
380,42,003,563900,1400000US42003563900,42003563900,5639,CT,1895017,0,0.0765195397396115,0.000197750338499801
381,42,003,980700,1400000US42003980700,42003980700,9807,CT,621462,417415,0.0742867426468481,0.000110380074500178
382,42,003,526101,1400000US42003526101,42003526101,5261.01,CT,34362115,979252,0.340784201039368,0.00375550723099942
383,42,003,561400,1400000US42003561400,42003561400,5614,CT,1820851,0,0.0715177376035895,0.000195139172499802
384,42,003,413500,1400000US42003413500,42003413500,4135,CT,8717230,54875,0.148192036036107,0.000934625273499526
385,42,003,473200,1400000US42003473200,42003473200,4732,CT,729801,0,0.0376318039390211,7.723774550022e-05
386,42,003,523100,1400000US42003523100,42003523100,5231,CT,6801079,288443,0.133051557681304,0.000754652672499911
387,42,003,160900,1400000US42003160900,42003160900,1609,CT,1244897,443598,0.0782129678728054,0.00018070866200023
388,42,003,429700,1400000US42003429700,42003429700,4297,CT,3135561,0,0.0975636091997202,0.000331097373000006
389,42,003,562400,1400000US42003562400,42003562400,5624,CT,1891902,0,0.0601319495407656,0.000198084060000002
390,42,003,980100,1400000US42003980100,42003980100,9801,CT,1473395,253872,0.0823971298320687,0.000182208486499778
391,42,003,414200,1400000US42003414200,42003414200,4142,CT,14184938,0,0.220703659866392,0.00150388429450027
392,42,003,451105,1400000US42003451105,42003451105,4511.05,CT,9558163,0,0.16118893020311,0.00101620653900008
393,42,003,474101,1400000US42003474101,42003474101,4741.01,CT,4058888,0,0.130309920216552,0.000436194975499613
394,42,003,490003,1400000US42003490003,42003490003,4900.03,CT,7806130,0,0.124422422383403,0.000820640687999946
395,42,003,040200,1400000US42003040200,42003040200,402,CT,604717,0,0.0499159537829049,6.36622870000787e-05
396,42,003,111300,1400000US42003111300,42003111300,1113,CT,536950,0,0.0399018177435251,5.74067390000158e-05
397,42,003,130300,1400000US42003130300,42003130300,1303,CT,546310,0,0.0375155962321143,5.70914769998194e-05
398,42,003,141000,1400000US42003141000,42003141000,1410,CT,507878,0,0.0462257361396044,5.45459614998328e-05
399,42,003,202300,1400000US42003202300,42003202300,2023,CT,2532255,0,0.0755876456108074,0.000270063159499288
400,42,003,320600,1400000US42003320600,42003320600,3206,CT,1479651,0,0.0539690854423215,0.000159244233999868
401,42,003,408001,1400000US42003408001,42003408001,4080.01,CT,26224976,0,0.220845302149917,0.0027898053055007
402,42,003,414101,1400000US42003414101,42003414101,4141.01,CT,9630782,0,0.1401462893119,0.00102406395400011
