date,equalWeighting,minVariance,maxReturn,maxSharpe,maxSortino,riskParity,00pct,01pct,02pct
2016-01-31,5010549.123717751,5009132.909014946,5020300.882180612,5008659.767739252,5007139.382277472,5009933.966779243,5008539.346959795,5016154.73626569,5020300.882180612
2016-02-29,5021499.601678299,5018226.579548673,5040918.106021219,5017428.643207151,5014364.744662723,5020231.267354638,5017221.404551308,5033032.519812173,5040918.106021219
2016-03-31,5032211.0594558045,5027171.7026741635,5060338.73314793,5026120.554098631,5021400.689483222,5030345.646315701,5025876.93938793,5050125.793964419,5060338.73314793
2016-04-30,5042565.290528891,5035835.540484259,5078989.137102475,5034538.694347503,5028106.062005944,5040124.405770074,5034232.351707917,5067163.930037124,5078989.137102475
2016-05-31,5053273.556284535,5044472.23729178,5098258.470391797,5042978.735650201,5034970.619627936,5050205.311855173,5042520.119531736,5084582.069069454,5098258.470391797
2016-06-30,5064710.666755145,5053266.871778076,5118077.963089805,5051768.692507914,5042332.953211168,5060983.331626839,5051147.1223280905,5102712.856936614,5118077.963089805
2016-07-31,5076272.1938774595,5061712.387111821,5138021.2416547695,5060506.144467245,5049655.497614449,5071886.933761931,5059800.302038028,5121000.749972601,5138021.2416547695
2016-08-31,5087570.957000787,5069167.199059508,5159009.823096244,5068318.940269475,5055859.815757387,5082447.576721038,5067736.573485977,5139007.805749264,5159009.823096244
2016-09-30,5098933.787810136,5075874.263443028,5181195.001251614,5075393.269713007,5061195.410475349,5092950.1964460835,5074965.071605365,5156915.007976444,5181195.001251614
2016-10-31,5110702.866935774,5082766.68217739,5203916.5848304555,5082918.734412656,5066942.259053,5103833.312900028,5082312.368340531,5174772.9308624435,5203916.5848304555
2016-11-30,5121816.182438849,5089566.996055276,5225083.968079752,5090638.702410789,5072778.593342279,5114195.233741376,5089566.448126991,5191119.473881991,5225083.968079752
2016-12-31,5130578.432895116,5094777.040547112,5241960.107941279,5097003.106489702,5077289.2617947105,5122419.100527488,5095367.061274586,5204104.559535421,5241960.107941279
2017-01-31,5137233.0074321935,5098246.09160086,5254971.377956764,5101875.126089919,5080660.13532042,5128684.366467818,5099531.683392344,5214101.50472966,5254971.377956764
2017-02-28,5142726.621287209,5100804.456368127,5266510.971554009,5105761.731012124,5083348.047697904,5133847.844116266,5102657.984172283,5222079.791235033,5266510.971554009
2017-03-31,5146884.025578484,5102434.1295979805,5276702.674599967,5108173.561851214,5084364.021525648,5137727.786190591,5104602.700636191,5227712.991902556,5276702.674599967
2017-04-30,5149952.705706472,5103201.708347957,5285436.4552128995,5109237.508135022,5083605.05163716,5140581.173409433,5105580.215544512,5231574.749679711,5285436.4552128995
2017-05-31,5153480.491747783,5104163.345217947,5294775.41117539,5110444.286432302,5082952.71761655,5143881.570807821,5106796.529702757,5235923.221261803,5294775.41117539
2017-06-30,5158452.454918406,5106120.482731203,5306039.92506829,5112838.075720522,5083763.327819253,5148539.567731804,5109051.163647911,5242120.110228198,5306039.92506829
2017-07-31,5164204.377576367,5108671.02587539,5318322.233867264,5115728.394446092,5085105.31688021,5153910.701677324,5111865.161134937,5249410.735808248,5318322.233867264
2017-08-31,5169706.579848068,5111609.041329552,5330013.121301899,5118552.7477217475,5086052.49496407,5159080.97898766,5114785.627479984,5256444.345492408,5330013.121301899
2017-09-30,5174547.327833018,5114952.738982279,5339943.49862873,5121442.084988599,5086985.042544941,5163699.537240566,5117644.600339024,5262388.951451475,5339943.49862873
2017-10-31,5178175.078594082,5117801.7622033125,5346792.983266904,5123710.099838941,5087706.194735898,5167191.199057282,5119672.6120626265,5266478.771014172,5346792.983266904
2017-11-30,5178712.118336869,5118603.588689712,5348567.247359926,5123650.704822438,5086558.139369143,5167741.152300723,5119448.008304702,5267076.121346833,5348567.247359926
2017-12-31,5175701.953642902,5117507.101847823,5345059.9811295355,5121376.982134191,5083518.602641438,5164991.285981288,5117217.484254507,5264133.534378399,5345059.9811295355
2018-01-31,5172220.73603732,5116583.823029873,5340452.396081767,5119397.12047852,5081314.02221694,5161900.975778958,5115377.196868964,5260979.259539736,5340452.396081767
2018-02-28,5171826.060387905,5118050.2360768905,5339572.141027866,5120277.454563636,5082808.704473811,5161833.848820816,5116412.313673146,5261569.2794398945,5339572.141027866
2018-03-31,5175576.4941875115,5123296.512282427,5343698.33659303,5125326.806742785,5089325.7356464835,5165821.935308875,5121493.214501918,5267402.179129557,5343698.33659303
