CENSUS_TRACT,MUNICODE,Count,Return,Risk
120700,112,262,1.95,4.73
470400,941,1894,1.91,2.5
468900,941,1894,1.91,2.5
470600,941,1894,1.91,2.5
470501,941,1894,1.91,2.5
409000,935,1581,1.91,1.83
469000,941,1894,1.91,2.5
470502,941,1894,1.91,2.5
562800,941,1894,1.91,2.5
474101,941,1894,1.91,2.5
470300,941,1894,1.91,2.5
417200,853,471,1.9,4.25
417100,853,471,1.9,4.25
410000,809,112,1.88,1.97
495000,911,129,1.87,3.78
412002,884,1918,1.87,1.62
413202,884,1918,1.87,1.62
437000,884,1918,1.87,1.62
412001,884,1918,1.87,1.62
474101,950,3261,1.84,2.0
474202,950,3261,1.84,2.0
525300,845,614,1.84,2.94
470400,950,3261,1.84,2.0
525100,845,614,1.84,2.94
525200,845,614,1.84,2.94
474203,950,3261,1.84,2.0
474102,950,3261,1.84,2.0
474201,950,3261,1.84,2.0
473500,950,3261,1.84,2.0
746100,950,3261,1.84,2.0
403500,855,375,1.81,5.68
402000,855,375,1.81,5.68
426700,944,4325,1.8,2.72
425000,944,4325,1.8,2.72
468700,812,773,1.8,3.21
468900,812,773,1.8,3.21
426800,944,4325,1.8,2.72
427200,944,4325,1.8,2.72
426400,944,4325,1.8,2.72
427100,944,4325,1.8,2.72
426300,944,4325,1.8,2.72
415002,944,4325,1.8,2.72
468800,812,773,1.8,3.21
470502,831,753,1.79,2.62
470501,831,753,1.79,2.62
202300,831,753,1.79,2.62
469000,831,753,1.79,2.62
202300,120,1376,1.77,3.28
281400,120,1376,1.77,3.28
563100,120,1376,1.77,3.28
191600,120,1376,1.77,3.28
191100,120,1376,1.77,3.28
192000,120,1376,1.77,3.28
202200,120,1376,1.77,3.28
562600,120,1376,1.77,3.28
562500,120,1376,1.77,3.28
563000,120,1376,1.77,3.28
428100,937,425,1.76,3.38
428200,937,425,1.76,3.38
427000,937,425,1.76,3.38
475200,876,4843,1.74,2.12
475101,876,4843,1.74,2.12
475401,876,4843,1.74,2.12
475301,876,4843,1.74,2.12
474203,876,4843,1.74,2.12
474102,876,4843,1.74,2.12
746302,876,4843,1.74,2.12
480102,876,4843,1.74,2.12
475304,876,4843,1.74,2.12
490002,876,4843,1.74,2.12
475102,876,4843,1.74,2.12
473402,876,4843,1.74,2.12
475402,876,4843,1.74,2.12
475303,876,4843,1.74,2.12
480200,873,1245,1.74,2.72
489002,873,1245,1.74,2.72
489001,873,1245,1.74,2.72
425000,827,375,1.72,4.48
262000,124,325,1.71,4.35
240600,124,325,1.71,4.35
241200,124,325,1.71,4.35
250900,124,325,1.71,4.35
560500,866,1042,1.7,3.43
561500,866,1042,1.7,3.43
561000,866,1042,1.7,3.43
560600,866,1042,1.7,3.43
561100,866,1042,1.7,3.43
561200,866,1042,1.7,3.43
561400,866,1042,1.7,3.43
483800,834,207,1.7,5.71
465800,818,560,1.68,3.17
480101,945,1797,1.68,2.25
478200,810,1264,1.68,3.04
480200,874,1877,1.68,2.63
477300,874,1877,1.68,2.63
465600,818,560,1.68,3.17
477100,874,1877,1.68,2.63
490004,945,1797,1.68,2.25
478100,810,1264,1.68,3.04
457200,811,581,1.68,3.09
490002,945,1797,1.68,2.25
490003,945,1797,1.68,2.25
487000,820,168,1.68,5.07
771200,945,1797,1.68,2.25
477200,874,1877,1.68,2.63
457100,811,581,1.68,3.09
452000,910,328,1.66,2.09
604800,906,271,1.62,2.76
449000,906,271,1.62,2.76
421100,931,1322,1.62,2.07
421200,931,1322,1.62,2.07
407002,952,1428,1.58,2.36
407001,952,1428,1.58,2.36
310300,131,450,1.57,3.08
310200,131,450,1.57,3.08
524000,859,180,1.56,4.89
459102,939,1403,1.55,2.02
459101,939,1403,1.55,2.02
459201,939,1403,1.55,2.02
460001,919,976,1.55,2.31
460002,919,976,1.55,2.31
451104,925,2979,1.54,2.12
451101,925,2979,1.54,2.12
451102,925,2979,1.54,2.12
451105,925,2979,1.54,2.12
451300,925,2979,1.54,2.12
419000,915,226,1.52,3.12
461000,928,101,1.49,3.18
479000,902,357,1.48,3.07
476100,902,357,1.48,3.07
473300,902,357,1.48,3.07
404000,907,145,1.46,3.84
405000,907,145,1.46,3.84
477300,877,2575,1.45,2.84
490003,877,2575,1.45,2.84
488500,877,2575,1.45,2.84
562900,877,2575,1.45,2.84
475401,877,2575,1.45,2.84
480102,877,2575,1.45,2.84
480400,877,2575,1.45,2.84
480300,877,2575,1.45,2.84
480200,877,2575,1.45,2.84
480101,877,2575,1.45,2.84
489002,877,2575,1.45,2.84
464300,835,381,1.4,3.93
447000,921,141,1.39,2.0
526102,880,3314,1.34,2.23
526201,880,3314,1.34,2.23
802101,880,3314,1.34,2.23
526202,880,3314,1.34,2.23
526302,880,3314,1.34,2.23
526301,880,3314,1.34,2.23
526101,880,3314,1.34,2.23
510000,822,103,1.32,5.21
496102,908,1383,1.28,2.67
496200,908,1383,1.28,2.67
496101,908,1383,1.28,2.67
486800,302,165,1.25,5.13
415002,917,692,1.24,2.23
415001,917,692,1.24,2.23
130400,113,377,1.23,3.94
130300,113,377,1.23,3.94
130600,113,377,1.23,3.94
130100,113,377,1.23,3.94
130200,113,377,1.23,3.94
450700,817,476,1.2,3.36
450800,817,476,1.2,3.36
563900,828,1089,1.16,2.62
518001,828,1089,1.16,2.62
422000,868,746,1.15,1.89
290200,129,1062,1.14,3.88
320400,129,1062,1.14,3.88
462100,949,560,1.14,3.69
462600,949,560,1.14,3.69
290400,129,1062,1.14,3.88
290100,129,1062,1.14,3.88
521100,879,3401,1.12,2.13
521500,879,3401,1.12,2.13
521401,879,3401,1.12,2.13
521200,879,3401,1.12,2.13
521301,879,3401,1.12,2.13
521402,879,3401,1.12,2.13
521302,879,3401,1.12,2.13
485000,865,142,1.11,4.18
552000,411,213,1.07,4.19
552400,411,213,1.07,4.19
507000,821,228,1.06,4.48
402000,807,302,1.05,3.99
481000,839,297,1.03,5.36
290200,839,297,1.03,5.36
492700,201,201,1.03,4.97
551300,409,266,1.02,4.3
552400,409,266,1.02,4.3
552000,409,266,1.02,4.3
416000,948,159,1.02,2.73
405000,909,187,1.01,2.72
406000,909,187,1.01,2.72
401200,916,1342,1.0,3.07
401100,916,1342,1.0,3.07
401300,916,1342,1.0,3.07
406000,916,1342,1.0,3.07
494000,825,147,0.99,4.82
520001,953,811,0.99,2.44
519000,953,811,0.99,2.44
552100,407,543,0.99,4.66
520002,953,811,0.99,2.44
552300,407,543,0.99,4.66
550900,407,543,0.99,4.66
552000,407,543,0.99,4.66
484500,840,1349,0.98,2.94
484300,840,1349,0.98,2.94
484600,840,1349,0.98,2.94
488500,870,2505,0.94,2.45
480200,870,2505,0.94,2.45
